estrutura,num_threads,op_total,prop_escrita,op_tipo,tempo
ConcurrentHashMap,32,100,0.5,read,7432
ConcurrentHashMap,32,100,0.5,read,7786
ConcurrentHashMap,32,100,0.5,read,2124
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1061
ConcurrentHashMap,32,100,0.5,read,1769
ConcurrentHashMap,32,100,0.5,read,7078
ConcurrentHashMap,32,100,0.5,read,1062
ConcurrentHashMap,32,100,0.5,read,1769
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,2477
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1061
ConcurrentHashMap,32,100,0.5,read,1061
ConcurrentHashMap,32,100,0.5,read,1062
ConcurrentHashMap,32,100,0.5,read,1769
ConcurrentHashMap,32,100,0.5,read,1062
ConcurrentHashMap,32,100,0.5,read,2477
ConcurrentHashMap,32,100,0.5,read,1061
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1062
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1769
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,2123
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,1416
ConcurrentHashMap,32,100,0.5,read,1415
ConcurrentHashMap,32,100,0.5,read,2124
ConcurrentHashMap,32,100,0.5,read,2124
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1062
ConcurrentHashMap,32,100,0.5,read,1770
ConcurrentHashMap,32,100,0.5,read,1769
