estrutura,num_threads,operacao,tempo
ConcurrentHashMap,4,read,10264
ConcurrentHashMap,4,read,2763
ConcurrentHashMap,4,read,2763
ConcurrentHashMap,4,read,5527
ConcurrentHashMap,4,read,2368
ConcurrentHashMap,4,read,3158
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,2763
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,2368
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,2368
ConcurrentHashMap,4,read,2764
ConcurrentHashMap,4,read,4738
ConcurrentHashMap,4,read,3159
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,1973
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,2368
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,2763
ConcurrentHashMap,4,read,1973
ConcurrentHashMap,4,read,1973
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,3159
ConcurrentHashMap,4,read,2763
ConcurrentHashMap,4,read,1973
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,3553
ConcurrentHashMap,4,read,1973
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1184
ConcurrentHashMap,4,read,2369
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,3553
ConcurrentHashMap,4,read,1578
ConcurrentHashMap,4,read,2368
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,8290
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1580
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1579
ConcurrentHashMap,4,read,1974
ConcurrentHashMap,4,read,1579
