estrutura,num_threads,operacao,tempo
ConcurrentHashMap,2,read,12632
ConcurrentHashMap,2,read,2763
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1580
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,2763
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,4738
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2763
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,2763
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1580
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,3553
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,3158
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,11447
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,5921
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2368
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,298832
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,1580
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,395
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,394
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1973
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,2763
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,395
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,10264
ConcurrentHashMap,2,read,1974
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,394
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,1185
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,2369
ConcurrentHashMap,2,read,1579
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,1184
ConcurrentHashMap,2,read,395
ConcurrentHashMap,2,read,394
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,395
ConcurrentHashMap,2,read,790
ConcurrentHashMap,2,read,789
ConcurrentHashMap,2,read,789
